name,price,link,image_url,vendor,handle,product_id,shelf_life,gekoeld,bevroren,weight_(g),volume_(l),inkoop,import_batch_size,import_delivery_time,,,,,,,,,,,,,,
Rauwe Honing,"6,90",https://upfront.nl/products/honing,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_Honing_CP_Still_v1.jpg?v=1765207254&width=750,Upfront,honing,9839027945821,21,0,0,350,"0,35",2,300,5,,,,,,,,,,,,,,
Oesters,7,https://upfront.nl/products/oesters,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Oesters_CP_Still_v1.jpg?v=1771411741&width=750,Upfront Food Store,oesters,15577003491711,7,0,1,650,"1,5",3,200,5,,,,,,,,,,,,,,
Koffie Cups,"7,50",https://upfront.nl/products/koffie-cups-lungo,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_KoffieCups_CP_Still_v1.jpg?v=1765548444&width=750,Upfront,koffie-cups-lungo,15411101499775,40,0,0,350,1,3,1000,5,,,,,,,,,,,,,,
Gembershot,"7,50",https://upfront.nl/products/gembershot,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Sap_GemberLimoenShot_CP_Still_v1_1.jpg?v=1771511147&width=750,Upfront Food Store,gembershot,15577006670207,7,1,0,750,"0,85",2,400,5,,,,,,,,,,,,,,
Kombucha,"7,50",https://upfront.nl/products/kombucha,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Kombucha_Lavendel_CP_Still_1.jpg?v=1771511204&width=750,Upfront Food Store,kombucha,15577003426175,7,1,0,750,"0,85",2,400,7,,,,,,,,,,,,,,
Medjoul Dadels,"7,50",https://upfront.nl/products/medjoul-dadels,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_MedjoulDadels_CP_Still_v1.jpg?v=1771403406&width=750,Upfront Food Store,medjoul-dadels,15577001984383,14,0,0,650,1,2,400,7,,,,,,,,,,,,,,
Riblappen,"8,50",https://upfront.nl/products/riblappen,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Riblappen_CP_Still_v1.jpg?v=1771405446&width=750,Upfront Food Store,riblappen,15577006997887,6,1,0,500,"0,75",3,100,7,,,,,,,,,,,,,,
Koffiebonen,"9,50",https://upfront.nl/products/koffiebonen,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_KoffieBonen_CP_Still_v1.jpg?v=1765548381&width=750,Upfront,koffiebonen,15411102515583,30,0,0,450,1,"3,5",700,7,,,,,,,,,,,,,,
Biefstukpuntjes,"9,50",https://upfront.nl/products/biefstukpuntjes,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Biefstukpuntjes_CP_Still_v1.jpg?v=1771405416&width=750,Upfront Food Store,biefstukpuntjes,15576997986687,6,1,0,250,"0,35","3,5",100,7,,,,,,,,,,,,,,
Gemalen Koffie,"9,50",https://upfront.nl/products/gemalen-koffie,https://cdn.shopify.com/s/files/1/0254/4667/8590/files/Website_KoffieGemalen_CP_Still_v1.jpg?v=1765548499&width=750,Upfront,gemalen-koffie,15411101860223,14,0,0,500,1,"3,5",400,7,,,,,,,,,,,,,,
Kogelbiefstuk,11,https://upfront.nl/products/kogelbiefstuk,https://cdn.shopify.com/s/files/1/0706/3034/2703/files/SWebsite_Kogelbiefstuk_CP_Still_v1.jpg?v=1771405454&width=750,Upfront Food Store,kogelbiefstuk,15577007128959,5,1,0,300,"0,4",4,100,7,,,,,,,,,,,,,,
